"taxon","16S rRNA accession #","Family","Genus","Species","Strain","Genome size","%G+C","Other genetic characteristics","Cell shape","Pigments","Cell wall","Motility","Biofilm formation","Habitat isolated from","Oxygen use","Salinity preference","pH minimum","pH optimum","pH maximum","Temperature minimum","Temperature optimum","Temperature maximum","NaCl minimum","NaCl optimum","NaCl maximum","Host","Symbiotic","Pathogenic","Disease caused","Metabolism (energy & carbon source)","Mono & di-saccharides","Polysaccharides","Amino acids","Alcohols","Fatty acids","Other energy or carbon sources","Fermentation products","Polyalkanoates (plastics)","Other metabolic product","Antibiotic sensitivity","Antibiotic resistant","Cell Size"
"Spiroplasma_leucomae","","","","","","","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanofollis_tationis","","","","","","","54","","coccoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prochlorothrix.hollandica.PCC9006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acholeplasma_brassicae","","","","","","","35.5","","coccoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halobacterium_jilantaiense","","","","","","","64.2","","rods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanocella_arvoryzae","","","","","","","56.7","","coccoid,rod-shaped,singly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Synechococcus.lividus.C1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halogeometricum_rufum","","","","","","","","","short,pleomorphic,cocci,irregular,long,rods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thermogladius_shockii","","","","","","","51.3","","pairs,regular,cocci,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanobacterium_ferruginis","","","","","","","37.6","","long,rods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halopenitus_persicus","","","","","","","66.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyanothece.sp.CCY0110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanosarcina_baltica","","","","","","","","","pairs,singly,cocci,irregular,tetrads","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanobacterium_kanagiense","","","","","","","39.3","","rod-shaped,long","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanolobus_vulcani","","","","","","","39","","coccoid,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanocorpusculum_parvum","","","","","","","","","coccoid,pairs,singly,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halorubrum_arcis","","","","","","","65.7","","rod-like","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanoculleus_receptaculi","","","","","","","55.2","","pairs,singly,cocci","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanocorpusculum_sinense","","","","","","","52.0","","coccoid,singly,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thermococcus_alcaliphilus","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanogenium_marisnigri","","","","","","","61","","irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Palaeococcus_ferrophilus","","","","","","","53.5","","pairs,singly,cocci,,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanocaldococcus_indicus","","","","","","","30.7","","pairs,singly,cocci","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thermococcus_sibiricus","","","","","","","38.4","","cocci,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acidianus_hospitalis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanosphaerula_palustris","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
